"Rona-Tas-2011-500-1"	"NUMBER"	"GLOSS"	"CONCEPTICON_ID"	"CONCEPTICON_GLOSS"
"Rona-Tas-2011-500-262"	261	"pink, several kinds of pink, Danthus, D. caryophyllus, several members of the Caryophillaceæ"	3446	"PINK"
"Rona-Tas-2011-500-263"	262	"pink, several kinds of pink, Danthus, D. caryophyllus, several members of the Caryophillaceæ"	3446	"PINK"
"Rona-Tas-2011-500-264"	263	"stake, pale, stick"	1295	"STICK"
"Rona-Tas-2011-500-265"	264	"a fishing water bird with black feathers, cormorant,Phalacrocorax carbo"	840	"CORMORANT"
"Rona-Tas-2011-500-266"	265	"sparrow hawk, Accipiter n. nisus"	307	"HAWK"
"Rona-Tas-2011-500-267"	266	"chicory, Cichorium sp., Cichorium intybus"	4014	"CHICORY"
"Rona-Tas-2011-500-268"	267	"an ethnic name, Kazar"	1405	"NAME"
"Rona-Tas-2011-500-269"	268	"bosom, breast"	1402	"BREAST"
"Rona-Tas-2011-500-270"	269	"goat, Capra hircus"	1502	"GOAT"
"Rona-Tas-2011-500-271"	270	"blue"	837	"BLUE"
"Rona-Tas-2011-500-272"	271	"trousseau, dowry, gift given with the bride or bridegroom"	3168	"DOWRY"
"Rona-Tas-2011-500-273"	272	"hemp, Cannabis"	2041	"HEMP"
"Rona-Tas-2011-500-274"	273	"mercury"	4015	"MERCURY"
"Rona-Tas-2011-500-275"	274	"picture, shape, form"	2401	"PICTURE"
"Rona-Tas-2011-500-276"	275	"shock, shook, sheaves placed crosswise, also a unit of grain paid orgiven"	4016	"STOOK"
"Rona-Tas-2011-500-277"	276	"a kind of ship"	740	"SHIP"
"Rona-Tas-2011-500-278"	277	"to ruminate (of bovines)"	3680	"RUMINATE"
"Rona-Tas-2011-500-279"	278	"cud"	4017	"CUD"
"Rona-Tas-2011-500-280"	279	"garden, place for animals"	586	"GARDEN"
"Rona-Tas-2011-500-281"	280	"vulture, Vultur"	1185	"VULTURE"
"Rona-Tas-2011-500-282"	281	"to be, become late"	1579	"BE"
"Rona-Tas-2011-500-283"	282	"small, little"	1246	"SMALL"
"Rona-Tas-2011-500-284"	283	"small, little"	1246	"SMALL"
"Rona-Tas-2011-500-285"	284	"small"	1246	"SMALL"
"Rona-Tas-2011-500-286"	285	"small, little"	1246	"SMALL"
"Rona-Tas-2011-500-287"	286	"felt"	325	"FELT"
"Rona-Tas-2011-500-288"	287	"wild/meadow saffron, Colchicum autumnale; lions tooth, Taraxacum"	2230	"UNTAMED OR WILD"
"Rona-Tas-2011-500-289"	288	"a bird similar to a falcon, a kind of bird of prey"	3258	"FALCON"
"Rona-Tas-2011-500-290"	289	"pain"	1783	"PAIN"
"Rona-Tas-2011-500-291"	290	"gourd, calabash, Lagenaria vulgaris; head, billy-cock-hat"	1256	"HEAD"
"Rona-Tas-2011-500-292"	291	"lute, cittern"	2681	"LUTE"
"Rona-Tas-2011-500-293"	292	"to beg, to mendicate"	3534	"BEG"
"Rona-Tas-2011-500-294"	293	"beggar"	1934	"BEGGAR"
"Rona-Tas-2011-500-295"	294	"beggar"	1934	"BEGGAR"
"Rona-Tas-2011-500-296"	295	"hops, Humulus lupulus"	3316	"HOPS"
"Rona-Tas-2011-500-297"	296	"timothy-grass, phleum, Phleum sp."	4018	"TIMOTHY"
"Rona-Tas-2011-500-298"	297	"a kind of Hungarian sheepdog"	4019	"KOMONDOR"
"Rona-Tas-2011-500-299"	298	"gloomy, grave, morose, sombre, dull-coloured; not properly castrated"	1773	"GRAVE"
"Rona-Tas-2011-500-300"	299	"coffin"	2011	"COFFIN"
"Rona-Tas-2011-500-301"	300	"age, period"	1789	"AGE"
"Rona-Tas-2011-500-302"	301	"tomb, small hill, elevated, dry place in a marsh"	1773	"GRAVE"
"Rona-Tas-2011-500-303"	302	"dry stalk of weed"	342	"HAY"
"Rona-Tas-2011-500-304"	303	"soot"	830	"SOOT"
"Rona-Tas-2011-500-305"	304	"ram"	1344	"RAM"
"Rona-Tas-2011-500-306"	305	"burn"	2102	"BURN"
"Rona-Tas-2011-500-307"	306	"frock, sheepskin waistcoat"	603	"COAT"
"Rona-Tas-2011-500-308"	307	"frock, sheepskin waistcoat"	603	"COAT"
"Rona-Tas-2011-500-309"	308	"blackthorn, Prunus spinosa"	4020	"BLACKTHORN"
"Rona-Tas-2011-500-310"	309	"loan"	4021	"LOAN"
"Rona-Tas-2011-500-311"	310	"the navel; various parts of agricultural and other instruments,around which something turns or rotates or which is in the centre"	1838	"NAVEL"
"Rona-Tas-2011-500-312"	311	"young of an animal, kid, puppy, lad"	1972	"KID"
"Rona-Tas-2011-500-313"	312	"pounder, beater, small mortar"	2459	"GRINDSTONE"
"Rona-Tas-2011-500-314"	313	"breast strap"	2973	"STRAP"
"Rona-Tas-2011-500-315"	314	"breast strap"	2973	"STRAP"
"Rona-Tas-2011-500-316"	315	"book"	963	"BOOK"
"Rona-Tas-2011-500-317"	316	"book"	963	"BOOK"
"Rona-Tas-2011-500-318"	317	"stumpy, a small, thick man"	1246	"SMALL"
"Rona-Tas-2011-500-319"	318	"a kind of Hungarian sheepdog, komondor"	4019	"KOMONDOR"
"Rona-Tas-2011-500-320"	319	"cloak, gown, overcoat"	326	"CLOAK"
"Rona-Tas-2011-500-321"	320	"churn, beehive, anything with a hollow part in which something canbe fitted in, a trough, tray for channelling water, the same used as a small bridge (the latter in Translyvania)"	88	"BEEHIVE"
"Rona-Tas-2011-500-322"	321	"ash tree, Fraxinus sp."	1089	"FRAXINUS"
"Rona-Tas-2011-500-323"	322	"mellow, powdery, crumbly, rotten, mouldy"	1728	"ROTTEN"
"Rona-Tas-2011-500-324"	323	"pear, Pyrus communis"	922	"PEAR"
"Rona-Tas-2011-500-325"	324	"pear, Pyrus communis"	922	"PEAR"
"Rona-Tas-2011-500-326"	325	"to greet, to thank"	3552	"GREET"
"Rona-Tas-2011-500-327"	326	"the Cuman ethnic group in Hungary"	1405	"NAME"
"Rona-Tas-2011-500-328"	327	"a kind of dog, a Hungarian breed of sheepdog"	4019	"KOMONDOR"
"Rona-Tas-2011-500-329"	328	"laughing bird, Picus viridis"	4022	"PICUS VIRIDIS"
"Rona-Tas-2011-500-330"	329	"a fish living at the bottom of the river, gudgeon, Gobio fluviatilis"	4023	"GOBIO GOBIO"
"Rona-Tas-2011-500-331"	330	"laughing bird, Picus viridis"	4022	"PICUS VIRIDIS"
"Rona-Tas-2011-500-332"	331	"dry summer fog, rainbow"	1733	"RAINBOW"
"Rona-Tas-2011-500-333"	332	"the name of a group of military people in Hungary,the Cuman bodyguard to the Hungarian king"	1405	"NAME"
"Rona-Tas-2011-500-334"	333	"chaff, husks, winnowings, tailings, refuse of grain"	2363	"CHAFF (HUSK)"
"Rona-Tas-2011-500-335"	334	"cause, reason"	860	"CAUSE"
"Rona-Tas-2011-500-336"	335	"to teach"	709	"TEACH"
"Rona-Tas-2011-500-337"	336	"sty, cattle pen, sheepfold"	4024	"PEN (ENCLOSURE)"
"Rona-Tas-2011-500-338"	337	"cheap"	1887	"CHEAP"
"Rona-Tas-2011-500-339"	338	"kid (of a goat)"	1972	"KID"
"Rona-Tas-2011-500-340"	339	"sperm, seminal fluid"	1505	"SPERM"
"Rona-Tas-2011-500-341"	340	"crumb (of bread), morsel, a small piece of bread"	4025	"CRUMB"
"Rona-Tas-2011-500-342"	341	"crumb (of bread), morsel, a small piece of bread"	4025	"CRUMB"
"Rona-Tas-2011-500-343"	342	"Russian"	1405	"NAME"
"Rona-Tas-2011-500-344"	343	"lion"	1386	"LION"
"Rona-Tas-2011-500-345"	344	"spindle, whorl"	277	"SPINDLE"
"Rona-Tas-2011-500-346"	345	"thief"	1160	"THIEF"
"Rona-Tas-2011-500-347"	346	"physician"	597	"PHYSICIAN"
"Rona-Tas-2011-500-348"	347	"cune in play in ostábla"	4026	"POINT (TABLE GAMES)"
"Rona-Tas-2011-500-349"	348	"ox"	1169	"OX"
"Rona-Tas-2011-500-350"	349	"to stitch, to put on a dress"	4027	"STITCH"
"Rona-Tas-2011-500-351"	350	"hawk, buzzard, Buteo buteo"	307	"HAWK"
"Rona-Tas-2011-500-352"	351	"to take root, to grow stronger (plant, animal)"	619	"ANIMAL"
"Rona-Tas-2011-500-353"	352	"to grind, mill"	1033	"GRIND"
"Rona-Tas-2011-500-354"	353	"milling product"	1594	"FLOUR"
"Rona-Tas-2011-500-355"	354	"Armenian"	1405	"NAME"
"Rona-Tas-2011-500-356"	355	"eternal"	4028	"ETERNAL"
"Rona-Tas-2011-500-357"	356	"to rejoice, to be glad"	2192	"REJOICE"
"Rona-Tas-2011-500-358"	357	"to become mad"	4029	"BECOME MAD"
"Rona-Tas-2011-500-359"	358	"whirlpool, eddy"	1982	"WHIRLPOOL"
"Rona-Tas-2011-500-360"	359	"whirlpool, eddy"	1982	"WHIRLPOOL"
"Rona-Tas-2011-500-361"	360	"whirlpool, eddy"	1982	"WHIRLPOOL"
"Rona-Tas-2011-500-362"	361	"whirlpool, eddy"	1982	"WHIRLPOOL"
"Rona-Tas-2011-500-363"	362	"whirlpool, eddy"	1982	"WHIRLPOOL"
"Rona-Tas-2011-500-364"	363	"whirlpool, eddy"	1982	"WHIRLPOOL"
"Rona-Tas-2011-500-365"	364	"flood, deluge, stream"	947	"STREAM"
"Rona-Tas-2011-500-366"	365	"cheese"	1569	"CHEESE"
"Rona-Tas-2011-500-367"	366	"cheese"	1569	"CHEESE"
"Rona-Tas-2011-500-368"	367	"mud, marsh"	640	"MUD"
"Rona-Tas-2011-500-369"	368	"yellow"	1424	"YELLOW"
"Rona-Tas-2011-500-370"	369	"yellow"	1424	"YELLOW"
"Rona-Tas-2011-500-371"	370	"dragon"	2038	"DRAGON"
"Rona-Tas-2011-500-372"	371	"sickle"	341	"SICKLE"
"Rona-Tas-2011-500-373"	372	"a type of wild onion, Ornithogalum"	4030	"ORNITHOGALUM"
"Rona-Tas-2011-500-374"	373	"footwear, sandals"	2047	"STRAW SANDAL"
"Rona-Tas-2011-500-375"	374	"tent"	1316	"TENT"
"Rona-Tas-2011-500-376"	375	"fast, quick"	1631	"FAST"
"Rona-Tas-2011-500-377"	376	"to sweep, to broom"	230	"SWEEP"
"Rona-Tas-2011-500-378"	377	"broom"	245	"BROOM"
"Rona-Tas-2011-500-379"	378	"draff, lees, dregs of wine"	4031	"LEES"
"Rona-Tas-2011-500-380"	379	"draff, lees, dregs of wine"	4031	"LEES"
"Rona-Tas-2011-500-381"	380	"to injure, to hurt"	44	"INJURE"
"Rona-Tas-2011-500-382"	381	"army, troops, crowd"	1561	"ARMY"
"Rona-Tas-2011-500-383"	382	"a nit"	267	"NIT"
"Rona-Tas-2011-500-384"	383	"cup, goblet"	476	"CUP"
"Rona-Tas-2011-500-385"	384	"also short sheaves used to strengthen athatched roof"		
"Rona-Tas-2011-500-386"	385	"even, flat, open (water)"	1633	"FLAT"
"Rona-Tas-2011-500-387"	386	"smooth, simít"	1234	"SMOOTH"
"Rona-Tas-2011-500-388"	387	"running water, running channel under a mill"	3311	"FLOWING BODY OF WATER"
"Rona-Tas-2011-500-389"	388	"spring, well, brook"	1537	"SPRINGTIME"
"Rona-Tas-2011-500-390"	389	"much, many"	1198	"MANY"
"Rona-Tas-2011-500-391"	390	"falcon"	3258	"FALCON"
"Rona-Tas-2011-500-392"	391	"falcon"	3258	"FALCON"
"Rona-Tas-2011-500-393"	392	"dogwood (tree), cornel, Cornus"	4032	"CORNUS"
"Rona-Tas-2011-500-394"	393	"dogwood (tree), cornel, Cornus"	4032	"CORNUS"
"Rona-Tas-2011-500-395"	394	"beer"	1639	"BEER"
"Rona-Tas-2011-500-396"	395	"sterlet, sturgeon, Acipenser stellatus, ruthenus"	3606	"STURGEON"
"Rona-Tas-2011-500-397"	396	"pike perch, zander, Stizostedion lucioperca"	4033	"STIZOSTEDION LUCIOPERCA"
"Rona-Tas-2011-500-398"	397	"scurvy"	4034	"SCURVY"
"Rona-Tas-2011-500-399"	398	"dense, thick (of woods or soup)"	2239	"DENSE"
"Rona-Tas-2011-500-400"	399	"brother-in-law"	2314	"BROTHER-IN-LAW"
"Rona-Tas-2011-500-401"	400	"brother-in-law"	2314	"BROTHER-IN-LAW"
"Rona-Tas-2011-500-402"	401	"mirage"	4035	"MIRAGE"
"Rona-Tas-2011-500-403"	402	"uvula, the recurved point of a fishing hook or a lance, red wattle on a chicken"	2293	"UVULA"
"Rona-Tas-2011-500-404"	403	"beard"	678	"BEARD"
"Rona-Tas-2011-500-405"	404	"raft"	1664	"RAFT"
"Rona-Tas-2011-500-406"	405	"number"	1356	"NUMBER"
"Rona-Tas-2011-500-407"	406	"to have pity for, to regret"	1875	"REGRET"
"Rona-Tas-2011-500-408"	407	"to wish, to intend something for somebody/something, to devote"	2117	"DESIRE"
"Rona-Tas-2011-500-409"	408	"trousseau box"	4036	"TROUSSEAU BOX"
"Rona-Tas-2011-500-410"	409	"bucket, wooden pail (with a handle)"	2052	"BUCKET"
"Rona-Tas-2011-500-411"	410	"light-coloured, yellowish, pale, (partly) bald"	1125	"BALD"
"Rona-Tas-2011-500-412"	411	"wing"	1257	"WING"
"Rona-Tas-2011-500-413"	412	"grocer, grand handler"	4037	"GROCER"
"Rona-Tas-2011-500-414"	413	"chair, seat, bench, throne"	1476	"CHAIR"
"Rona-Tas-2011-500-415"	414	"wind"	960	"WIND"
"Rona-Tas-2011-500-416"	415	"to slumber, to doze"	4038	"SLUMBER"
"Rona-Tas-2011-500-417"	416	"to slumber, to doze"	4038	"SLUMBER"
"Rona-Tas-2011-500-418"	417	"beautiful"	1427	"BEAUTIFUL"
"Rona-Tas-2011-500-419"	418	"freckle, sun spot, stain"	530	"FRECKLE"
"Rona-Tas-2011-500-420"	419	"part of a village, street, group of people; row, line, order"	1362	"STREET"
"Rona-Tas-2011-500-421"	420	"threshing floor (round)"	223	"THRESHING-FLOOR"
"Rona-Tas-2011-500-422"	421	"fumes, vapour, spirits, alcohol, humours"	404	"ALCOHOL (FERMENTED DRINK)"
"Rona-Tas-2011-500-423"	422	"colour, face, external appearance, the best part of something, the upperpart of something"	1560	"FACE"
"Rona-Tas-2011-500-424"	423	"thin hide rope, strap (used for embroidery or as a whip), refrozen thin layer after the melting of snow"	2973	"STRAP"
"Rona-Tas-2011-500-425"	424	"thin hide rope, strap (used for embroidery or as a whip), refrozen thin layer after the melting of snow"	2973	"STRAP"
"Rona-Tas-2011-500-426"	425	"rock, cliff, occiput, crest (of mountain)"	992	"CLIFF"
"Rona-Tas-2011-500-427"	426	"word"	1599	"WORD"
"Rona-Tas-2011-500-428"	427	"a kind of falcon, Pielfalcus, Gyrfalco"	4039	"GYRFALCON"
"Rona-Tas-2011-500-429"	428	"to spread, to scatter, to winnow"	3705	"SCATTER"
"Rona-Tas-2011-500-430"	429	"grasshopper"	607	"GRASSHOPPER"
"Rona-Tas-2011-500-431"	430	"to leap, to jump, to escape, to flee"	1829	"JUMP"
"Rona-Tas-2011-500-432"	431	"grape, wine grape, Vitis vinifer"	920	"GRAPE"
"Rona-Tas-2011-500-433"	432	"grape, wine grape, Vitis vinifer"	920	"GRAPE"
"Rona-Tas-2011-500-434"	433	"mosquito, gnat, Culex pipens"	1509	"MOSQUITO"
"Rona-Tas-2011-500-435"	434	"furrier"	4040	"FURRIER"
"Rona-Tas-2011-500-436"	435	"to cease, to stop"	1928	"CEASE"
"Rona-Tas-2011-500-437"	436	"to strain, to filter"	940	"STRAIN"
"Rona-Tas-2011-500-438"	437	"virgin, pure"	1147	"PURE"
"Rona-Tas-2011-500-439"	438	"sorcerer, medicine man"	394	"SHAMAN (FOLK HEALER)"
"Rona-Tas-2011-500-440"	439	"advice; council"	4041	"ADVICE"
"Rona-Tas-2011-500-441"	440	"witness"	1144	"WITNESS"
"Rona-Tas-2011-500-442"	441	"to feed, to nourish"	739	"FEED"
"Rona-Tas-2011-500-443"	442	"tinder, tinder fungus, Fomes fomentarius"	4042	"FORMES FOMENTARIUS"
"Rona-Tas-2011-500-444"	443	"bald"	1125	"BALD"
"Rona-Tas-2011-500-445"	444	"depot: tárház"	3399	"WAREHOUSE"
"Rona-Tas-2011-500-446"	445	"plough field, arable field, stubble field"	4043	"ARABLE LAND"
"Rona-Tas-2011-500-447"	446	"to hold, carry; to last, visszatart"	1448	"HOLD"
"Rona-Tas-2011-500-448"	447	"Tatar"	1405	"NAME"
"Rona-Tas-2011-500-449"	448	"name of several kinds of plants, e.g. Anemosphoros, Buniasorientalis, Napus, Crambe tatarica; storm wind"	4044	"BUNIAS ORIENTALIS"
"Rona-Tas-2011-500-450"	449	"name of several kinds of plants, e.g. Anemosphoros, Buniasorientalis, Napus, Crambe tatarica; storm wind"	4044	"BUNIAS ORIENTALIS"
"Rona-Tas-2011-500-451"	450	"to wind something round, to twist"	430	"TWIST"
"Rona-Tas-2011-500-452"	451	"trough, wash tub, hutch"	205	"TROUGH"
"Rona-Tas-2011-500-453"	452	"strap (on a whip, or on a kind of sandal)"	2973	"STRAP"
"Rona-Tas-2011-500-454"	453	"a piece of land, field, parcel, patch, a higher place where animals rest and accumulate dung"	212	"FIELD"
"Rona-Tas-2011-500-455"	454	"to vegetate, to linger in misery"	4045	"VEGETATE"
"Rona-Tas-2011-500-456"	455	"axle"	1769	"AXLE"
"Rona-Tas-2011-500-457"	456	"sea"	1474	"SEA"
"Rona-Tas-2011-500-458"	457	"to turn, to change the original direction"	1588	"TURN"
"Rona-Tas-2011-500-459"	458	"to turn, to change the original direction"	1588	"TURN"
"Rona-Tas-2011-500-460"	459	"knee"	1371	"KNEE"
"Rona-Tas-2011-500-461"	460	"hall, chamber, great room"	4046	"HALL"
"Rona-Tas-2011-500-462"	461	"camel"	1871	"CAMEL"
"Rona-Tas-2011-500-463"	462	"hemp breaker, swingle, scutch"	4047	"SCUTCH"
"Rona-Tas-2011-500-464"	463	"steer, young bullock, ox"	1169	"OX"
"Rona-Tas-2011-500-465"	464	"to lay eggs"	2464	"LAY EGGS"
"Rona-Tas-2011-500-466"	465	"to lay eggs"	2464	"LAY EGGS"
"Rona-Tas-2011-500-467"	466	"sturgeon, Acipenser sturio"	3606	"STURGEON"
"Rona-Tas-2011-500-468"	467	"one-year-old lamb"	820	"LAMB"
"Rona-Tas-2011-500-469"	468	"interpreter"	3744	"INTERPRETER"
"Rona-Tas-2011-500-470"	469	"horseradish, Armoracia rusticana"	4048	"HORSERADISH"
"Rona-Tas-2011-500-471"	470	"to pile up, to become blocked"	1576	"PILE UP"
"Rona-Tas-2011-500-472"	471	"to pile up, to become blocked"	1576	"PILE UP"
"Rona-Tas-2011-500-473"	472	"a kind of small falcon, Falco columbarius aescalon"	3258	"FALCON"
"Rona-Tas-2011-500-474"	473	"Slovak"	1405	"NAME"
"Rona-Tas-2011-500-475"	474	"perfect"	1035	"GOOD"
"Rona-Tas-2011-500-476"	475	"innumerable"	1198	"MANY"
"Rona-Tas-2011-500-477"	476	"to break (also e.g. hemp, salt, pepper), to separate into pieces, to break,to crush"	1520	"CRUSH"
"Rona-Tas-2011-500-478"	477	"snare, trap"	1075	"TRAP (PITFALL)"
"Rona-Tas-2011-500-479"	478	"Turk, Turkish, Turkic, Ottoman"	1405	"NAME"
"Rona-Tas-2011-500-480"	479	"to happen, to occur"	248	"HAPPEN"
"Rona-Tas-2011-500-481"	480	"law"	1062	"LAW"
"Rona-Tas-2011-500-482"	481	"peat, turf, dried dung"	4049	"PEAT"
"Rona-Tas-2011-500-483"	482	"steer, young bullock, ox or cow"	1007	"COW"
"Rona-Tas-2011-500-484"	483	"cottage cheese, cheese curds"	4050	"COTTAGE CHEESE"
"Rona-Tas-2011-500-485"	484	"the totem bird of the Árpád dynasty, a bird of prey"	4051	"TURUL"
"Rona-Tas-2011-500-486"	485	"bustard, Otis"	4052	"BUSTARD"
"Rona-Tas-2011-500-487"	486	"mirror"	1171	"MIRROR"
"Rona-Tas-2011-500-488"	487	"mirror"	1171	"MIRROR"
"Rona-Tas-2011-500-489"	488	"to endure, suffer, bear, stand"	833	"ENDURE"
"Rona-Tas-2011-500-490"	489	"to roll up (a scroll or ones sleeves)"	4053	"ROLL UP"
"Rona-Tas-2011-500-491"	490	"hen"	1514	"HEN"
"Rona-Tas-2011-500-492"	491	"owl, Strix"	735	"OWL"
"Rona-Tas-2011-500-493"	492	"gentleman, lord, sir, high dignity, Lord (also of a king or of God)"	3153	"LORD"
"Rona-Tas-2011-500-494"	493	"to refresh oneself, to rest, to become cured"	168	"REST"
"Rona-Tas-2011-500-495"	494	"feast, ünnepnap"	3990	"BANQUET"
"Rona-Tas-2011-500-496"	495	"heifer, roe doe"	4054	"HEIFER"
"Rona-Tas-2011-500-497"	496	"ground squirrel, Citellus citellus"	4055	"GROUND SQUIRREL"
"Rona-Tas-2011-500-498"	497	"ground squirrel, Citellus citellus"	4055	"GROUND SQUIRREL"
"Rona-Tas-2011-500-499"	498	"wormwood, Artemisia; bitterness"	887	"BITTER"
"Rona-Tas-2011-500-500"	499	"wormwood, Artemisia; bitterness"	887	"BITTER"
"Rona-Tas-2011-500-501"	500	"wether, sheep"	1331	"SHEEP"
"Rona-Tas-2011-500-502"	501	"hot embers, extinguished embers"	67	"EMBERS"
"Rona-Tas-2011-500-503"	502	"hot embers, extinguished embers"	67	"EMBERS"
"Rona-Tas-2011-500-504"	503	"one-year-old female sheep"	1331	"SHEEP"
"Rona-Tas-2011-500-505"	504	"to hollow out, to scoop out"	46	"HOLLOW OUT"
"Rona-Tas-2011-500-506"	505	"trough, tray"	205	"TROUGH"
"Rona-Tas-2011-500-507"	506	"fishweir"	4056	"FISHWEIR"
"Rona-Tas-2011-500-508"	507	"a hole in the ice (for fishing)"	4057	"ICE HOLE"
"Rona-Tas-2011-500-509"	508	"a hole in the ice (for fishing)"	4057	"ICE HOLE"
"Rona-Tas-2011-500-510"	509	"guest"	1782	"GUEST"
"Rona-Tas-2011-500-511"	510	"to plait, to lay the rope"	3295	"BRAID (VERB)"
"Rona-Tas-2011-500-512"	511	"gable, frontispiece"	4058	"GABLE"
"Rona-Tas-2011-500-513"	512	"chamois, Rupicapra rupicapra"	4059	"CHAMOIS"
